customer_id,customer_name,customer_type,city,country
235,Kilimo Pharmacy NAI235,Retail Pharmacy,Nairobi,Kenya
236,Harambee Clinic NAK236,Clinic,Nakuru,Kenya
237,Baraka Hospital DOD237,Hospital,Dodoma,Tanzania
238,Cedar Pharmacy ELD238,Retail Pharmacy,Eldoret,Kenya
239,Summit Hospital ARU239,Hospital,Arusha,Tanzania
240,Lakeview Health Foundation ELD240,NGO,Eldoret,Kenya
241,Harambee Health Foundation KIS241,NGO,Kisumu,Kenya
242,Kilimo Hospital MOM242,Hospital,Mombasa,Kenya
243,Harambee Pharmacy NAI243,Retail Pharmacy,Nairobi,Kenya
244,Jubilee Hospital DAR244,Hospital,Dar es Salaam,Tanzania
245,Meadow Pharmacy MOM245,Retail Pharmacy,Mombasa,Kenya
246,Hope Health Foundation MWA246,NGO,Mwanza,Tanzania
247,Harambee Hospital MOM247,Hospital,Mombasa,Kenya
248,Sunrise Clinic KIS248,Clinic,Kisumu,Kenya
249,Cedar Pharmacy KIS249,Retail Pharmacy,Kisumu,Kenya
250,Nyota Pharmacy MOM250,Retail Pharmacy,Mombasa,Kenya
251,Zawadi Pharmacy NAK251,Retail Pharmacy,Nakuru,Kenya
252,Nyota Pharmacy MWA252,Retail Pharmacy,Mwanza,Tanzania
253,Baraka Hospital DOD253,Hospital,Dodoma,Tanzania
254,Meadow Health Foundation NAK254,NGO,Nakuru,Kenya
255,Harambee Hospital ARU255,Hospital,Arusha,Tanzania
256,Summit Clinic NAI256,Clinic,Nairobi,Kenya
257,Uzima Clinic KIS257,Clinic,Kisumu,Kenya
258,Kilimo Hospital ELD258,Hospital,Eldoret,Kenya
259,Crescent Pharmacy DAR259,Retail Pharmacy,Dar es Salaam,Tanzania
260,Cedar Hospital ELD260,Hospital,Eldoret,Kenya
261,Baraka Clinic MOM261,Clinic,Mombasa,Kenya
262,Cedar Health Foundation JIN262,NGO,Jinja,Uganda
263,Summit Pharmacy DOD263,Retail Pharmacy,Dodoma,Tanzania
264,Baraka Pharmacy MWA264,Retail Pharmacy,Mwanza,Tanzania
265,Amani Hospital DAR265,Hospital,Dar es Salaam,Tanzania
266,Summit Hospital MWA266,Hospital,Mwanza,Tanzania
267,Baraka Pharmacy KIS267,Retail Pharmacy,Kisumu,Kenya
268,Cedar Clinic DAR268,Clinic,Dar es Salaam,Tanzania
269,Cedar Clinic MOM269,Clinic,Mombasa,Kenya
270,Unity Hospital KAM270,Hospital,Kampala,Uganda
271,Baraka Clinic NAK271,Clinic,Nakuru,Kenya
272,Jubilee Pharmacy JIN272,Retail Pharmacy,Jinja,Uganda
273,Unity Pharmacy JIN273,Retail Pharmacy,Jinja,Uganda
274,Uzima Pharmacy NAI274,Retail Pharmacy,Nairobi,Kenya
275,Amani Pharmacy DAR275,Retail Pharmacy,Dar es Salaam,Tanzania
276,Jubilee Pharmacy DOD276,Retail Pharmacy,Dodoma,Tanzania
277,Sunrise Hospital MWA277,Hospital,Mwanza,Tanzania
278,Amani Pharmacy KIS278,Retail Pharmacy,Kisumu,Kenya
279,Prime Health Foundation MWA279,NGO,Mwanza,Tanzania
280,Nyota Pharmacy KAM280,Retail Pharmacy,Kampala,Uganda
281,Zawadi Health Foundation ELD281,NGO,Eldoret,Kenya
282,Riverside Pharmacy ELD282,Retail Pharmacy,Eldoret,Kenya
283,Cedar Hospital ELD283,Hospital,Eldoret,Kenya
284,Zawadi Pharmacy GUL284,Retail Pharmacy,Gulu,Uganda
285,Highland Health Foundation KIS285,NGO,Kisumu,Kenya
286,Uzima Pharmacy MOM286,Retail Pharmacy,Mombasa,Kenya
287,Baraka Clinic ELD287,Clinic,Eldoret,Kenya
288,Metro Health Foundation MWA288,NGO,Mwanza,Tanzania
289,Summit Pharmacy DOD289,Retail Pharmacy,Dodoma,Tanzania
290,Harambee Hospital GUL290,Hospital,Gulu,Uganda
291,Zawadi Clinic DOD291,Clinic,Dodoma,Tanzania
292,Highland Pharmacy KIS292,Retail Pharmacy,Kisumu,Kenya
293,Hope Pharmacy MOM293,Retail Pharmacy,Mombasa,Kenya
294,Uzima Pharmacy DAR294,Retail Pharmacy,Dar es Salaam,Tanzania
295,Lakeview Pharmacy GUL295,Retail Pharmacy,Gulu,Uganda
296,Meadow Health Foundation NAI296,NGO,Nairobi,Kenya
297,Crescent Health Foundation KAM297,NGO,Kampala,Uganda
298,Sunrise Pharmacy ELD298,Retail Pharmacy,Eldoret,Kenya
299,Baraka Pharmacy NAI299,Retail Pharmacy,Nairobi,Kenya
300,Prime Hospital MWA300,Hospital,Mwanza,Tanzania
301,Crescent Clinic NAK301,Clinic,Nakuru,Kenya
302,Baraka Health Foundation MWA302,NGO,Mwanza,Tanzania
303,Unity Pharmacy MOM303,Retail Pharmacy,Mombasa,Kenya
304,Lakeview Pharmacy ARU304,Retail Pharmacy,Arusha,Tanzania
305,Metro Pharmacy GUL305,Retail Pharmacy,Gulu,Uganda
306,Uzima Clinic JIN306,Clinic,Jinja,Uganda
307,Summit Clinic KIS307,Clinic,Kisumu,Kenya
308,Meadow Pharmacy DAR308,Retail Pharmacy,Dar es Salaam,Tanzania
309,Riverside Hospital NAI309,Hospital,Nairobi,Kenya
310,Cedar Health Foundation KIS310,NGO,Kisumu,Kenya
311,Harambee Pharmacy KIS311,Retail Pharmacy,Kisumu,Kenya
312,Hope Pharmacy KAM312,Retail Pharmacy,Kampala,Uganda
313,Riverside Health Foundation NAK313,NGO,Nakuru,Kenya
314,Hope Hospital ARU314,Hospital,Arusha,Tanzania
315,Hope Hospital DAR315,Hospital,Dar es Salaam,Tanzania
316,Uzima Hospital NAK316,Hospital,Nakuru,Kenya
317,Unity Pharmacy GUL317,Retail Pharmacy,Gulu,Uganda
318,Hope Health Foundation MBA318,NGO,Mbarara,Uganda
319,Sunrise Clinic MOM319,Clinic,Mombasa,Kenya
320,Nyota Hospital MBA320,Hospital,Mbarara,Uganda
321,Sunrise Pharmacy KAM321,Retail Pharmacy,Kampala,Uganda
322,Amani Clinic KAM322,Clinic,Kampala,Uganda
323,Cedar Pharmacy ELD323,Retail Pharmacy,Eldoret,Kenya
324,Sunrise Pharmacy ELD324,Retail Pharmacy,Eldoret,Kenya
325,Hope Clinic JIN325,Clinic,Jinja,Uganda
326,Zawadi Pharmacy GUL326,Retail Pharmacy,Gulu,Uganda
327,Sunrise Pharmacy MOM327,Retail Pharmacy,Mombasa,Kenya
328,Hope Pharmacy MOM328,Retail Pharmacy,Mombasa,Kenya
329,Unity Pharmacy MBA329,Retail Pharmacy,Mbarara,Uganda
330,Baraka Clinic ARU330,Clinic,Arusha,Tanzania
331,Highland Clinic ELD331,Clinic,Eldoret,Kenya
332,Amani Pharmacy MOM332,Retail Pharmacy,Mombasa,Kenya
333,Summit Pharmacy KIS333,Retail Pharmacy,Kisumu,Kenya
334,Sunrise Pharmacy NAK334,Retail Pharmacy,Nakuru,Kenya
335,Crescent Pharmacy NAI335,Retail Pharmacy,Nairobi,Kenya
336,Cedar Clinic MOM336,Clinic,Mombasa,Kenya
337,Riverside Hospital ELD337,Hospital,Eldoret,Kenya
338,Unity Hospital DOD338,Hospital,Dodoma,Tanzania
339,Sunrise Clinic DOD339,Clinic,Dodoma,Tanzania
340,Jubilee Pharmacy KIS340,Retail Pharmacy,Kisumu,Kenya
341,Kilimo Pharmacy KIS341,Retail Pharmacy,Kisumu,Kenya
342,Harambee Clinic MBA342,Clinic,Mbarara,Uganda
343,Cedar Clinic NAI343,Clinic,Nairobi,Kenya
344,Baraka Clinic DOD344,Clinic,Dodoma,Tanzania
345,Hope Pharmacy ELD345,Retail Pharmacy,Eldoret,Kenya
346,Unity Health Foundation JIN346,NGO,Jinja,Uganda
347,Amani Pharmacy JIN347,Retail Pharmacy,Jinja,Uganda
348,Metro Pharmacy NAI348,Retail Pharmacy,Nairobi,Kenya
349,Riverside Clinic ELD349,Clinic,Eldoret,Kenya
350,Amani Pharmacy NAK350,Retail Pharmacy,Nakuru,Kenya
351,Zawadi Clinic ELD351,Clinic,Eldoret,Kenya
352,Unity Clinic KAM352,Clinic,Kampala,Uganda
353,Jubilee Health Foundation MOM353,NGO,Mombasa,Kenya
354,Prime Pharmacy MOM354,Retail Pharmacy,Mombasa,Kenya
355,Jubilee Clinic ARU355,Clinic,Arusha,Tanzania
356,Prime Pharmacy ARU356,Retail Pharmacy,Arusha,Tanzania
357,Crescent Health Foundation KAM357,NGO,Kampala,Uganda
358,Hope Hospital NAI358,Hospital,Nairobi,Kenya
359,Lakeview Pharmacy ELD359,Retail Pharmacy,Eldoret,Kenya
360,Uzima Pharmacy NAK360,Retail Pharmacy,Nakuru,Kenya
361,Hope Hospital NAI361,Hospital,Nairobi,Kenya
362,Baraka Clinic GUL362,Clinic,Gulu,Uganda
363,Amani Pharmacy ELD363,Retail Pharmacy,Eldoret,Kenya
364,Cedar Clinic ELD364,Clinic,Eldoret,Kenya
365,Baraka Hospital NAK365,Hospital,Nakuru,Kenya
366,Amani Hospital MOM366,Hospital,Mombasa,Kenya
367,Nyota Clinic ARU367,Clinic,Arusha,Tanzania
368,Baraka Pharmacy ELD368,Retail Pharmacy,Eldoret,Kenya
369,Nyota Health Foundation MOM369,NGO,Mombasa,Kenya
370,Metro Clinic KIS370,Clinic,Kisumu,Kenya
371,Zawadi Pharmacy MOM371,Retail Pharmacy,Mombasa,Kenya
372,Sunrise Pharmacy MWA372,Retail Pharmacy,Mwanza,Tanzania
373,Cedar Clinic DOD373,Clinic,Dodoma,Tanzania
374,Nyota Clinic MOM374,Clinic,Mombasa,Kenya
375,Metro Clinic JIN375,Clinic,Jinja,Uganda
376,Baraka Health Foundation DAR376,NGO,Dar es Salaam,Tanzania
377,Uzima Clinic NAK377,Clinic,Nakuru,Kenya
378,Uzima Clinic MBA378,Clinic,Mbarara,Uganda
379,Harambee Pharmacy NAK379,Retail Pharmacy,Nakuru,Kenya
380,Nyota Hospital KAM380,Hospital,Kampala,Uganda
381,Harambee Clinic KIS381,Clinic,Kisumu,Kenya
382,Highland Clinic ELD382,Clinic,Eldoret,Kenya
383,Lakeview Pharmacy MBA383,Retail Pharmacy,Mbarara,Uganda
384,Meadow Clinic DOD384,Clinic,Dodoma,Tanzania
385,Sunrise Pharmacy DOD385,Retail Pharmacy,Dodoma,Tanzania
386,Amani Health Foundation NAK386,NGO,Nakuru,Kenya
387,Cedar Clinic NAI387,Clinic,Nairobi,Kenya
388,Metro Pharmacy ARU388,Retail Pharmacy,Arusha,Tanzania
389,Amani Pharmacy DOD389,Retail Pharmacy,Dodoma,Tanzania
390,Highland Hospital NAK390,Hospital,Nakuru,Kenya
391,Kilimo Pharmacy MWA391,Retail Pharmacy,Mwanza,Tanzania
392,Metro Hospital KAM392,Hospital,Kampala,Uganda
393,Meadow Pharmacy KIS393,Retail Pharmacy,Kisumu,Kenya
394,Unity Pharmacy ELD394,Retail Pharmacy,Eldoret,Kenya
395,Nyota Clinic ELD395,Clinic,Eldoret,Kenya
396,Hope Clinic ARU396,Clinic,Arusha,Tanzania
397,Unity Hospital ELD397,Hospital,Eldoret,Kenya
398,Unity Pharmacy NAK398,Retail Pharmacy,Nakuru,Kenya
399,Baraka Clinic DAR399,Clinic,Dar es Salaam,Tanzania
400,Baraka Hospital MBA400,Hospital,Mbarara,Uganda
401,Lakeview Hospital KIS401,Hospital,Kisumu,Kenya
402,Cedar Clinic DAR402,Clinic,Dar es Salaam,Tanzania
403,Highland Pharmacy JIN403,Retail Pharmacy,Jinja,Uganda
404,Meadow Clinic DOD404,Clinic,Dodoma,Tanzania
405,Baraka Pharmacy MOM405,Retail Pharmacy,Mombasa,Kenya
406,Cedar Pharmacy NAI406,Retail Pharmacy,Nairobi,Kenya
