invoice_line_id,date_id,customer_id,product_id,sales_rep_id,units_sold,gross_revenue_local,discount_applied_local
51,20240308,454,19,1,67,1127305.15,100012.62
52,20240325,516,4,1,71,1266805.43,149944.94
53,20240409,234,15,1,66,953663.82,34748.84
54,20240401,385,7,1,20,402245.91,40123.04
55,20240402,42,15,1,42,606876.98,85119.72
56,20240404,180,51,1,198,519227.54,34147.39
57,20240425,748,94,1,14,748194.23,66461.85
58,20240427,276,88,1,1,286123.09,26465.72
59,20240417,591,22,1,26,632647.18,77692.09
60,20240409,234,22,1,20,486651.68,14947.47
61,20240422,719,71,1,172,1439184.07,94152.78
62,20240405,483,41,1,172,1378981.5,69846.07
63,20240425,26,31,1,289,1439790.58,90889.16
64,20240407,436,48,1,86,1071328.41,85706.26
65,20240412,216,29,1,48,950911.51,93353.46
66,20240408,402,4,1,30,534452.91,46634.77
67,20240417,519,8,1,221,324213.06,31597.28
68,20240418,725,81,1,2,581325.32,50164.71
69,20240430,47,60,1,88,468597.36,38508.5
70,20240427,80,44,1,23,589586.24,60554.36
71,20240429,600,81,1,2,581325.32,60828.62
72,20240507,688,36,1,44,234284.06,17031.28
73,20240504,263,94,1,4,211921.79,24484.01
74,20240510,523,8,1,500,727172.65,71173.63
75,20240502,107,21,1,13,208223.21,6898.88
76,20240521,173,93,1,14,543391.78,73953.78
77,20240524,330,1,1,30,765632.97,103264.25
78,20240524,684,87,1,3,730060.66,93713.74
79,20240530,649,87,1,3,730060.66,58554.87
80,20240520,648,23,1,82,802979.16,87121.34
81,20240523,719,63,1,63,1144319.44,90197.12
82,20240528,677,2,1,41,609444.03,7006.1
83,20240501,626,6,1,128,1108824.61,106773.75
84,20240507,402,47,1,400,762210.1,53543.82
85,20240517,440,94,1,29,1536432.98,99105.73
86,20240507,628,45,1,120,1666969.73,214522.04
87,20240620,684,39,1,51,1571443.06,74004.58
88,20240619,652,39,1,35,1078441.32,35135.24
89,20240608,736,82,1,7,448428.45,43073.67
90,20240603,170,3,1,54,832254.23,43156.33
91,20240618,302,44,1,89,2291183.42,221526.24
92,20240620,785,6,1,163,1430413.3,144128.48
93,20240608,396,13,1,27,743745.88,37980.52
94,20240611,499,4,1,17,304149.75,22413.89
95,20240627,167,71,1,142,1193236.67,111327.46
96,20240606,510,41,1,129,1038651.98,97699.89
97,20240605,94,48,1,71,888245.2,51100.36
98,20240603,10,50,1,166,1621513.05,104872.93
99,20240627,376,17,1,324,1371853.74,76031.29
100,20240726,440,9,1,221,1335109.05,121759.95
101,20240706,199,46,1,305,1158598.16,62743.41
102,20240727,691,15,1,86,1269705.5,139507.64
103,20240727,699,10,1,193,2053982.72,131136.24
104,20240703,534,86,1,40,3811297.59,361450.78
105,20240729,404,94,1,40,2184235.64,259033.82
106,20240705,628,50,1,60,596302.24,75404.02
107,20240709,648,6,1,425,3794597.3,343549.54
108,20240823,798,61,1,72,1153868.78,108182.07
109,20240802,510,8,1,500,743102.64,69976.13
110,20240826,136,42,1,45,838355.84,39153.64
111,20240815,253,55,1,365,2175471.64,211712.27
112,20240809,26,82,1,10,646227.34,60058.02
113,20240810,101,28,1,28,745888.62,75971.05
114,20240830,129,86,1,27,2550727.23,199262.35
115,20240809,483,51,1,400,1062656.95,116962.52
116,20240823,467,87,1,4,994738.54,124376.19
117,20240815,701,29,1,26,521810.46,32109.85
118,20240819,467,46,1,199,749503.14,69089.84
119,20240814,640,41,1,39,316763.52,25922.3
120,20240807,259,54,1,132,1357321.89,103173.52
121,20240805,259,81,1,2,588924.74,27688.42
122,20240912,774,4,1,120,2144347.56,149750.92
123,20240913,384,11,1,49,1653033.25,122577.84
124,20240910,33,19,1,89,1499750.65,152201.59
125,20240917,413,4,1,72,1286608.54,85870.71
126,20240903,136,83,1,19,1356495.97,131075.26
127,20240927,308,29,1,21,417295.69,9586.18
128,20240916,170,39,1,43,1323342.69,106544.7
129,20240904,613,32,1,142,915369.49,10854.93
130,20240906,720,60,1,286,1527597.5,108032.67
131,20240906,116,63,1,75,1378365.61,102857.55
132,20241008,580,24,1,152,734979.46,73972.44
133,20241004,367,9,1,299,1776783.94,110797.31
134,20241023,90,47,1,400,772747.38,86772.12
135,20241029,532,94,1,32,1718812.26,181358.6
136,20241022,396,33,1,500,657620.83,69649.75
137,20241029,475,77,1,2,735918.7,58146.44
138,20241026,585,56,1,189,971259.25,61711.31
139,20241003,603,72,1,33,115000.89,7813.75
140,20241004,626,22,1,91,2225470.11,126281.61
141,20241120,239,100,1,7,3223312.73,304362.8
142,20241122,122,43,1,9,237149.17,28155.82
143,20241114,130,92,1,16,2315725.63,194960.09
144,20241127,699,26,1,55,533665.24,39868.7
145,20241125,59,27,1,299,689072.84,74429.68
146,20241105,173,86,1,25,2328236.05,281183.04
147,20241111,532,57,1,176,1277945.59,35598.39
148,20241112,259,50,1,33,320555.52,9393.34
149,20241112,441,16,1,98,336101.28,26147.03
150,20241123,28,73,1,40,486002.79,56580.24
151,20241120,631,23,1,47,463645.75,46600.36
152,20241115,628,57,1,192,1394122.46,120492.0
153,20241101,638,35,1,59,1573390.27,209473.4
154,20241113,631,64,1,48,589150.88,59027.28
155,20241114,580,9,1,120,708565.24,68536.92
156,20241209,466,31,1,500,2489280.19,167864.64
157,20241228,741,46,1,400,1486079.7,146388.98
158,20241228,552,62,1,131,2431419.05,273461.79
159,20241227,755,51,1,400,1048225.74,78255.56
160,20241213,355,35,1,38,1014011.85,72937.77
161,20241225,115,7,1,54,1085319.72,67961.18
162,20241210,176,42,1,156,2866831.79,228901.72
163,20241220,691,8,1,500,733011.07,100155.16
164,20250122,552,29,1,138,2726521.09,251573.7
165,20250116,603,33,1,500,652550.8,61428.76
166,20250127,529,13,1,33,902724.66,86097.07
167,20250114,478,23,1,72,709291.12,72464.9
168,20250107,436,52,1,355,1187494.88,201477.36
169,20250127,28,9,1,146,860904.65,75984.4
170,20250123,101,98,1,12,607468.22,69410.42
171,20250122,640,55,1,224,1314313.37,179315.8
172,20250128,372,16,1,296,1013769.93,115167.54
173,20250131,702,74,1,13,2950956.75,211920.6
174,20250107,391,31,1,162,804910.15,22472.21
175,20250107,648,22,1,28,679480.77,47095.38
176,20250104,264,70,1,70,1109913.42,24257.25
177,20250206,107,89,1,3,507149.17,51784.02
178,20250220,26,44,1,28,721162.26,64981.69
179,20250207,22,58,1,344,2678003.41,140506.25
180,20250211,10,67,1,125,1134820.46,81703.07
181,20250206,158,6,1,67,588239.04,42331.78
182,20250212,604,34,1,357,1669211.8,138035.27
183,20250214,112,23,1,82,813823.88,67910.89
184,20250201,478,39,1,47,1448876.74,117671.54
185,20250221,315,34,1,125,584457.91,35493.04
186,20250221,28,86,1,27,2529757.62,241028.98
187,20250208,189,60,1,21,112354.87,5077.5
188,20250205,477,62,1,46,858419.38,90452.46
189,20250215,94,63,1,16,294545.82,12714.03
190,20250206,101,95,1,22,1148690.96,114647.59
191,20250217,774,17,1,134,567639.63,61725.39
192,20250225,545,24,1,140,676741.74,31039.04
193,20250324,80,104,1,5,1089222.41,101670.34
194,20250327,516,30,1,202,2068145.83,227146.81
195,20250305,523,98,1,9,462801.21,32643.46
196,20250324,59,56,1,58,300434.48,27351.42
197,20250302,396,29,1,64,1284456.51,111304.08
198,20250319,122,18,1,31,544986.07,30294.82
199,20250311,264,44,1,22,571324.37,34109.49
200,20250303,509,54,1,111,1141384.31,107355.21
201,20250306,263,72,1,400,1405062.65,128888.92
202,20250319,102,32,1,256,1666720.88,192334.69
203,20250304,529,43,1,34,908806.16,118003.03
204,20250304,466,25,1,91,2610311.51,154848.09
205,20250418,684,77,1,4,1479556.7,14156.29
206,20250404,239,57,1,96,705192.26,43768.4
207,20250423,90,31,1,78,392608.78,37311.13
208,20250403,725,29,1,41,820628.59,78018.74
209,20250409,31,15,1,116,1693453.52,174486.94
210,20250410,33,63,1,40,740459.54,58223.0
211,20250429,683,5,1,35,520226.88,46825.08
212,20250407,266,16,1,435,1509280.5,90327.38
213,20250421,652,33,1,500,661069.83,61954.44
214,20250401,338,33,1,500,661069.83,62902.52
215,20250410,523,32,1,69,448017.89,47627.2
216,20250406,689,11,1,11,373780.27,33327.89
217,20250404,268,35,1,63,1699658.26,168546.24
218,20250415,399,36,1,31,168223.39,12139.77
219,20250425,615,19,1,74,1256026.93,96468.25
220,20250528,134,99,1,5,1494424.34,125255.87
221,20250502,452,57,1,155,1129502.9,101384.95
222,20250507,201,46,1,188,700520.63,78999.84
223,20250529,10,18,1,37,643529.02,53189.58
224,20250502,588,21,1,19,307675.8,20802.47
225,20250523,798,13,1,11,302403.22,30504.98
226,20250505,741,56,1,151,773822.65,84965.11
227,20250505,123,69,1,135,510143.72,32120.66
228,20250505,588,67,1,51,461865.08,33489.14
229,20250527,157,13,1,113,3106505.8,378948.6
230,20250506,442,30,1,28,283615.87,16646.05
231,20250513,36,34,1,155,722940.8,48834.35
232,20250526,80,103,1,9,2069344.58,134816.04
233,20250529,462,18,1,27,469602.26,32119.89
234,20250516,294,69,1,112,423230.34,39118.71
235,20250527,191,42,1,8,147451.29,15490.27
236,20250515,277,70,1,22,350563.02,29876.28
237,20250503,540,65,1,60,878481.03,81271.84
238,20250508,751,37,1,19,520270.0,50373.18
239,20250502,468,86,1,19,1775810.25,172147.98
240,20250523,145,62,1,64,1191377.69,71815.97
241,20250621,466,54,1,246,2546269.83,114516.06
242,20250617,454,67,1,64,589715.61,52903.25
243,20250603,129,30,1,104,1071824.12,96482.19
244,20250613,540,54,1,111,1148926.63,149335.31
245,20250603,534,38,1,9,167964.29,19260.99
246,20250630,785,83,1,19,1379093.54,124946.08
247,20250630,533,13,1,85,2377553.75,245626.36
248,20250611,484,44,1,48,1254762.99,76790.65
249,20250602,239,69,1,320,1230343.69,92577.5
250,20250606,774,77,1,3,1120030.67,105023.75
251,20250603,531,26,1,160,1585257.67,135275.6
252,20250616,33,10,1,45,477969.05,17532.97
253,20250628,628,18,1,17,300838.23,35184.67
254,20250630,785,76,1,4,1578493.53,171570.97
255,20250731,259,18,1,29,508950.28,42645.01
256,20250716,626,61,1,136,2175787.56,223360.14
257,20250710,466,75,1,9,481465.19,38212.3
258,20250729,600,23,1,73,729252.95,57194.62
259,20250716,180,98,1,13,667342.8,46838.74
260,20250723,170,11,1,24,816329.0,82994.54
261,20250722,716,15,1,140,2045849.23,178852.85
262,20250712,213,16,1,314,1090537.61,158451.95
263,20250728,180,64,1,39,484748.87,22855.77
264,20250729,443,44,1,63,1633256.02,118507.97
265,20250715,600,62,1,58,1089452.84,59081.15
266,20250721,515,29,1,25,500879.31,33762.79
267,20250719,304,66,1,97,1524118.96,139197.28
268,20250707,749,47,1,130,252710.32,29825.24
269,20250728,402,32,1,45,292475.22,18033.82
270,20250702,468,71,1,22,186167.9,19028.23
271,20250729,499,102,1,1,257864.44,6884.27
272,20250701,339,67,1,159,1452957.89,130943.48
273,20250718,10,15,1,53,774500.06,44968.9
274,20250728,253,35,1,7,189038.12,11963.96
275,20250817,556,28,1,19,510852.73,44567.97
276,20250828,277,57,1,98,728559.78,43484.46
277,20250801,610,3,1,13,203996.16,14551.65
278,20250808,631,99,1,4,1219684.17,89689.43
279,20250821,279,19,1,92,1580366.7,126450.04
280,20250822,699,45,1,65,931316.41,7742.29
281,20250816,443,93,1,40,1601335.94,161297.01
282,20250806,580,39,1,16,501955.06,50910.44
283,20250825,239,37,1,27,754262.33,33726.31
284,20250812,330,84,1,4,1164303.65,107951.71
285,20250801,112,92,1,6,889114.7,73935.93
286,20250814,736,67,1,60,554344.41,53774.15
287,20250815,253,46,1,155,589221.04,50904.42
288,20250812,466,67,1,160,1478251.75,113255.36
289,20250827,703,2,1,40,613263.89,24813.77
290,20250801,516,41,1,155,1270657.26,78999.28
291,20250806,399,80,1,5,609816.87,27732.62
292,20250825,266,38,1,70,1309900.38,124236.17
293,20250922,36,99,1,3,923534.44,78422.86
294,20250908,475,11,1,24,833263.17,74285.62
295,20250918,515,45,1,71,1027038.42,86784.99
296,20250919,266,11,1,54,1874842.12,163186.84
297,20250930,414,3,1,139,2202104.28,126976.01
298,20250905,173,65,1,159,2397762.54,227851.94
299,20250927,684,64,1,171,2169528.05,258518.73
300,20250903,585,12,1,56,1883874.26,261078.62
301,20250904,140,34,1,58,278629.4,26924.44
302,20250918,508,17,1,254,1105496.43,72747.32
303,20250901,59,73,1,40,502368.77,39595.24
304,20250930,125,39,1,5,158365.04,9133.95
305,20250922,356,43,1,73,1988317.89,185968.86
306,20251017,315,46,1,400,1543616.5,69719.6
307,20251022,385,79,1,40,433830.51,54874.61
308,20251002,356,2,1,191,2972717.51,274607.48
309,20251013,330,66,1,66,1064379.38,90861.29
310,20251017,264,44,1,23,611993.69,46479.75
311,20251028,288,91,1,5,991178.11,97262.67
312,20251006,122,40,1,100,1694535.98,121037.9
313,20251028,683,102,1,4,1058660.82,136977.28
314,20251001,774,86,1,19,1839131.98,89174.99
315,20251014,145,66,1,109,1757838.67,216074.26
316,20251007,751,83,1,13,960466.27,64232.35
317,20251024,112,44,1,66,1756155.8,146655.27
318,20251101,615,22,1,16,406272.45,41019.55
319,20251127,127,28,1,109,2990963.03,156100.65
320,20251127,600,52,1,249,871527.29,80237.76
321,20251108,580,57,1,56,424883.21,16471.46
322,20251107,234,18,1,43,778683.12,44373.48
323,20251125,640,66,1,132,2140109.55,226265.75
324,20251107,478,31,1,110,571877.92,57215.26
325,20251111,56,39,1,28,896489.72,98396.25
326,20251127,593,48,1,225,2924932.51,86683.87
327,20251126,515,50,1,107,1086062.83,104088.84
328,20251111,499,82,1,14,931927.15,88794.06
329,20251128,631,27,1,167,402153.88,28084.77
330,20251112,615,38,1,67,1279550.59,100210.38
331,20251222,532,40,1,128,2192246.98,239897.5
332,20251223,484,52,1,400,1407540.16,142905.74
333,20251230,563,55,1,173,1067811.08,76685.42
334,20251206,399,34,1,309,1508601.62,63777.65
335,20251229,264,67,1,127,1203909.18,112392.24
336,20251208,265,53,1,285,3327403.44,211501.54
337,20251212,276,2,1,129,2029264.7,121496.58
338,20251219,28,66,1,107,1744074.41,153248.05
339,20251222,741,45,1,26,382224.78,39119.88
340,20251211,26,77,1,5,1920463.36,119709.22
341,20251231,338,55,1,301,1857867.83,251759.77
342,20251206,385,23,1,60,621785.64,76372.53
343,20251226,122,9,1,60,372178.14,36761.54
344,20251203,237,73,1,40,510551.76,58729.25
345,20240118,367,43,2,20,528222.04,44457.67
346,20240109,94,97,2,40,297140.33,33505.61
347,20240128,688,1,2,21,541158.03,59151.74
348,20240109,484,99,2,5,1492538.04,108925.19
349,20240110,516,19,2,80,1345327.56,186814.29
350,20240107,276,21,2,170,2749413.98,387262.93
351,20240102,26,12,2,14,456683.67,61603.47
352,20240131,477,28,2,65,1710895.5,142282.07
353,20240124,279,76,2,5,1936808.14,163917.65
354,20240111,134,39,2,36,1105644.14,84177.73
355,20240131,376,61,2,10,158350.01,10501.74
356,20240122,483,9,2,106,627352.88,80157.44
357,20240131,452,8,2,500,734248.35,43278.87
358,20240202,719,12,2,26,860855.42,128309.3
359,20240229,130,71,2,131,1113687.53,126433.29
360,20240209,628,74,2,5,1156279.3,79205.61
361,20240209,263,73,2,40,494442.3,41947.75
362,20240225,189,92,2,4,588984.63,49190.32
363,20240219,294,68,2,66,1060705.95,89149.44
364,20240221,356,65,2,36,534323.82,42430.25
365,20240207,389,42,2,38,710007.73,45929.66
366,20240213,234,27,2,500,1172305.5,141483.84
367,20240216,507,61,2,58,932213.79,75032.53
368,20240220,399,8,2,85,126695.54,7309.49
369,20240227,691,21,2,59,968529.04,92406.87
370,20240208,56,57,2,27,199452.88,14282.47
371,20240221,545,3,2,13,202702.65,11206.74
372,20240207,719,66,2,34,536705.44,58944.92
373,20240226,355,29,2,17,342177.9,29243.26
374,20240226,499,72,2,165,581277.14,62361.98
375,20240301,585,20,2,35,626755.85,68171.13
376,20240322,116,13,2,42,1153780.32,112777.04
377,20240305,201,48,2,104,1297540.4,84165.75
378,20240306,751,64,2,42,516976.32,46352.39
379,20240316,440,28,2,4,105341.32,2435.66
380,20240315,774,91,2,3,573808.17,50903.64
381,20240329,677,26,2,45,437879.7,36420.85
382,20240301,652,33,2,269,352556.78,39713.77
383,20240301,167,19,2,71,1194606.95,96255.94
384,20240313,90,81,2,3,873320.94,70003.55
385,20240326,585,76,2,5,1937828.05,133288.74
386,20240301,519,26,2,60,583839.6,56359.19
387,20240314,101,100,2,1,461785.69,29254.37
388,20240306,94,63,2,110,2018522.0,103023.47
389,20240319,42,86,2,4,373579.52,28160.11
390,20240302,259,69,2,373,1408470.38,164078.75
391,20240411,508,72,2,400,1386931.87,114473.4
392,20240430,402,84,2,3,854005.74,75015.18
393,20240423,749,75,2,13,687656.44,45123.8
394,20240420,244,34,2,209,972599.54,103666.94
395,20240424,477,34,2,243,1130821.47,97119.56
396,20240405,22,57,2,266,1933989.11,174664.71
397,20240415,580,74,2,7,1593259.89,190246.1
398,20240416,736,31,2,197,981448.94,110220.5
399,20240426,585,16,2,359,1232852.82,35894.0
400,20240401,759,99,2,10,2982089.43,331799.11
401,20240430,545,24,2,349,1679054.91,196824.72
402,20240528,268,65,2,10,144819.54,14745.65
403,20240528,246,59,2,71,697545.8,54036.97
404,20240524,189,62,2,52,957456.09,140392.64
405,20240523,384,47,2,183,348711.12,11606.54
406,20240528,478,42,2,5,91153.77,9276.48
407,20240527,689,12,2,18,581506.42,65918.86
408,20240502,748,32,2,107,681703.35,42732.7
409,20240516,26,98,2,10,503200.09,78986.82
410,20240507,647,28,2,39,1016644.92,86189.62
411,20240524,199,61,2,43,674343.42,60194.87
412,20240529,534,13,2,14,380686.78,66253.28
413,20240523,638,33,2,278,360651.31,25167.47
414,20240523,475,10,2,51,526605.97,12948.4
415,20240522,130,29,2,22,432066.75,32659.28
416,20240531,355,25,2,5,140349.12,14528.34
417,20240513,255,8,2,455,661727.12,77226.76
418,20240523,277,64,2,31,377701.73,37611.61
419,20240506,130,22,2,17,410077.98,26405.65
420,20240504,649,6,2,30,259880.77,24452.46
421,20240501,28,91,2,7,1325285.47,121502.35
422,20240626,484,80,2,2,239575.85,17211.07
423,20240619,33,92,2,2,291085.22,22208.23
424,20240620,416,24,2,51,246410.95,19910.45
425,20240620,372,17,2,78,330261.09,32386.0
426,20240608,176,24,2,153,739232.84,78794.1
427,20240612,519,29,2,17,338219.11,32900.93
428,20240619,759,4,2,73,1306054.8,62402.82
429,20240629,192,58,2,49,381279.67,37828.48
430,20240606,475,16,2,218,751836.88,55670.87
431,20240625,416,36,2,54,291276.12,26408.52
432,20240615,529,94,2,2,107341.25,3177.02
433,20240604,519,34,2,69,322468.44,14528.04
434,20240619,477,52,2,146,491785.47,41646.29
435,20240619,35,15,2,14,203156.05,22741.41
436,20240611,509,103,2,3,691160.07,58038.23
437,20240627,701,76,2,1,388626.32,17204.65
438,20240610,725,34,2,36,168244.4,17973.45
439,20240607,372,99,2,4,1197928.79,142046.53
440,20240613,478,7,2,10,201981.68,19897.98
441,20240722,436,29,2,31,627500.01,54261.9
442,20240731,279,12,2,38,1265288.27,155968.31
443,20240718,626,46,2,101,383666.93,30962.15
444,20240702,237,69,2,325,1252022.25,108464.44
445,20240730,677,7,2,23,472653.25,36966.25
446,20240711,467,2,2,38,582180.22,29852.88
447,20240726,20,7,2,77,1582360.89,174189.22
448,20240704,545,76,2,5,1976992.57,197324.01
449,20240729,652,28,2,19,510484.04,20747.06
450,20240717,516,6,2,190,1696408.21,180489.4
451,20240716,391,75,2,9,486433.92,21140.48
452,20240725,531,2,2,43,658782.88,78585.96
453,20240704,475,46,2,244,926878.53,106006.45
454,20240718,40,19,2,49,841109.56,87871.19
455,20240710,441,24,2,130,639051.71,50619.53
456,20240724,557,81,2,2,593980.81,63469.91
457,20240722,122,86,2,17,1619801.47,74064.87
458,20240805,253,15,2,161,2356773.31,36753.45
459,20240810,196,32,2,480,3125101.65,281468.15
460,20240809,134,39,2,67,2082540.67,230793.28
461,20240816,97,20,2,185,3351037.33,146922.85
462,20240806,302,64,2,143,1780469.69,161468.41
463,20240815,570,97,2,40,300723.54,32836.97
464,20240816,725,50,2,138,1359820.74,136344.85
465,20240823,367,13,2,74,2056282.32,198446.03
466,20240927,389,89,2,6,1012595.51,71306.48
467,20240913,196,65,2,72,1055008.86,92335.92
468,20240923,289,54,2,51,519235.38,49278.04
469,20240909,179,9,2,82,486307.41,28218.82
470,20240927,510,25,2,7,198808.14,21326.72
471,20240903,367,5,2,42,619777.57,88351.37
472,20240921,748,103,2,4,920434.25,40886.83
473,20240910,59,37,2,24,657701.61,35624.28
474,20240907,396,47,2,400,771207.31,82338.67
475,20240903,33,25,2,16,454418.61,41409.78
476,20240924,201,23,2,44,435952.87,30722.62
477,20240909,291,71,2,35,293752.58,18036.78
478,20240930,255,21,2,110,1782686.2,135326.0
479,20240918,510,84,2,1,285538.9,26728.58
480,20240902,97,64,2,79,973892.04,149480.16
481,20240928,545,39,2,31,954037.75,75370.08
482,20240909,130,78,2,3,1080202.5,105089.51
483,20240913,373,36,2,59,317861.94,22718.09
484,20240916,56,67,2,59,534736.02,60450.76
485,20240918,515,2,2,52,782077.44,34686.89
486,20240910,591,64,2,32,394487.92,47736.17
487,20240916,442,85,2,1,357376.99,39301.87
488,20241009,508,69,2,400,1515750.23,108576.64
489,20241024,669,27,2,400,927723.95,9579.97
490,20241011,649,55,2,136,804175.89,98215.3
491,20241023,196,38,2,33,606987.27,80675.19
492,20241008,376,81,2,2,584267.03,55229.47
493,20241016,338,21,2,102,1656337.32,90470.94
494,20241030,414,26,2,62,605428.35,18552.26
495,20241029,367,100,2,1,463414.09,42363.98
496,20241004,330,72,2,197,686520.49,53930.43
497,20241002,593,96,2,40,2066222.15,162849.86
498,20241021,275,39,2,21,647574.24,70427.18
499,20241018,384,54,2,140,1428198.38,91457.39
500,20241028,339,70,2,30,479372.98,29587.74
501,20241113,442,6,2,75,654503.78,51277.01
502,20241128,102,14,2,57,926043.91,51832.2
503,20241115,557,1,2,83,2133906.93,152424.89
504,20241128,122,21,2,77,1242437.38,149279.73
505,20241112,344,50,2,88,854814.72,78430.88
506,20241119,97,71,2,79,660149.5,74731.81
507,20241127,533,87,2,2,490304.29,25746.84
508,20241129,315,64,2,66,810082.46,46547.13
509,20241112,112,35,2,61,1626725.54,108737.32
510,20241102,719,41,2,107,856724.29,83107.82
511,20241116,703,19,2,109,1828761.7,174566.88
512,20241121,677,6,2,121,1055932.76,181465.0
513,20241112,391,53,2,168,1867105.56,244720.25
514,20241128,652,98,2,40,2027676.7,204339.46
515,20241210,751,51,2,319,835960.02,49522.74
516,20241202,372,1,2,21,540246.13,42100.26
517,20241203,519,1,2,37,951862.22,149258.06
518,20241225,94,15,2,24,346549.21,39308.83
519,20241231,289,1,2,12,308712.07,24093.17
520,20241206,209,75,2,27,1427230.85,47955.58
521,20241223,33,61,2,129,2039273.01,175065.27
522,20241210,689,30,2,70,706951.4,72408.26
523,20241216,157,26,2,156,1514627.42,143782.66
524,20241205,507,1,2,8,205808.05,17545.16
525,20241226,252,33,2,133,173927.14,11961.08
526,20241224,701,16,2,351,1204553.78,129608.44
527,20241225,252,80,2,7,834378.36,96051.79
528,20241230,244,51,2,400,1048225.74,81506.47
529,20241219,36,52,2,247,827888.28,110042.78
530,20250120,384,6,2,244,2126396.85,180147.34
531,20250109,344,84,2,7,1987323.12,98415.27
532,20250122,483,66,2,201,3114439.36,359233.33
533,20250120,416,62,2,101,1870848.01,149529.11
534,20250115,184,55,2,167,979867.56,76456.15
535,20250118,749,62,2,43,796499.65,87835.01
536,20250108,477,103,2,16,3660647.65,278891.51
537,20250129,201,33,2,427,557278.38,45145.4
538,20250113,264,100,2,6,2759047.98,231739.6
539,20250113,344,59,2,63,622667.98,52072.71
540,20250201,288,59,2,121,1204830.37,111364.73
541,20250225,42,50,2,270,2638646.63,295943.05
542,20250219,367,51,2,400,1053920.81,91883.89
543,20250205,615,52,2,400,1347993.92,212469.92
544,20250207,468,32,2,377,2434328.34,223901.67
545,20250207,101,50,2,117,1143413.54,69254.67
546,20250226,140,42,2,52,960802.49,67024.61
547,20250218,523,82,2,16,1025463.5,77358.52
548,20250210,123,70,2,152,2428058.8,168292.59
549,20250205,338,61,2,79,1255642.23,79688.52
550,20250204,638,83,2,18,1287262.52,69960.79
551,20250203,626,68,2,40,635714.85,53310.48
552,20250320,33,4,2,77,1389694.95,159138.37
553,20250328,647,62,2,85,1599358.09,211537.29
554,20250308,26,37,2,32,885691.47,75421.18
555,20250303,338,17,2,248,1059265.18,70530.95
556,20250321,127,12,2,15,495204.44,38816.37
557,20250314,436,97,2,40,300723.54,10907.56
558,20250304,478,57,2,35,257798.86,31019.13
559,20250324,615,72,2,120,421518.8,31445.8
560,20250326,252,48,2,79,996992.35,119697.86
561,20250307,101,3,2,86,1337060.06,110797.52
562,20250314,112,66,2,74,1164729.83,46724.3
563,20250310,604,31,2,323,1630213.81,145967.01
564,20250310,277,38,2,57,1056790.54,79004.41
565,20250320,192,36,2,16,87060.53,7492.1
566,20250304,748,61,2,43,689116.08,73747.18
567,20250303,646,63,2,111,2060349.83,161550.71
568,20250318,33,81,2,7,2061236.6,248268.0
